Comment,Designator,Footprint,LCSC Part #,Quantity,Value,Package
ESP32 Module,U1,ESP32-WROOM-32E,C701341,1,ESP32-WROOM-32E,SMD
USB to UART,U2,SOIC-16,C84681,1,CH340C,SOIC-16
Voltage Regulator,U3,SOT-223,C6186,1,AMS1117-3.3,SOT-223
USB Connector,J1,USB-C-16P,C165948,1,USB-C-16P,Mid-Mount
Piezo Buzzer,BZ1,Buzzer-12mm,C94599,1,Passive Piezo 12mm,SMD-12mm
LED Blue,D1,LED-0805,C2296,1,Blue LED,0805
Schottky Diode,D2,SMA,C8678,1,SS34,SMA
Tantalum Cap,C1,CAP-0805,C7171,1,10µF/16V,0805
Tantalum Cap,C2,CAP-0805,C7171,1,10µF/16V,0805
Ceramic Cap,C3,CAP-0805,C49678,1,100nF/50V,0805
Ceramic Cap,C4,CAP-0805,C49678,1,100nF/50V,0805
Ceramic Cap,C5,CAP-0805,C49678,1,100nF/50V,0805
Ceramic Cap,C6,CAP-0805,C49678,1,100nF/50V,0805
Ceramic Cap,C7,CAP-0805,C15850,1,10µF/25V,0805
Ceramic Cap,C8,CAP-0603,C1653,1,22pF/50V,0603
Ceramic Cap,C9,CAP-0603,C1653,1,22pF/50V,0603
Resistor,R1,RES-0805,C17414,1,10kΩ,0805
Resistor,R2,RES-0805,C17414,1,10kΩ,0805
Resistor,R3,RES-0805,C17630,1,330Ω,0805
Resistor,R4,RES-0805,C27834,1,5.1kΩ,0805
Resistor,R5,RES-0805,C27834,1,5.1kΩ,0805
Crystal,Y1,HC-49S-SMD,C9002,1,12MHz,HC-49S
Tactile Switch,SW1,SW-6x6mm,C318884,1,Boot Button,6x6mm
Tactile Switch,SW2,SW-6x6mm,C318884,1,Reset Button,6x6mm
